timestamp,input_text,rating
2026-03-03 12:26:47,N/A,4
2026-03-03 12:38:58,N/A,4
2026-03-03 13:08:03,N/A,4,good
2026-03-04 23:25:27,N/A,4,good working but improve in ui
2026-03-05 00:11:28,N/A,4,good
2026-03-05 00:27:25,N/A,3,good
2026-03-05 18:25:18,N/A,4,
2026-03-05 23:27:40,N/A,4,
2026-03-06 12:49:05,what is ai,4,
2026-03-09 22:35:05,whhasahldsaiojcjo;j hfluhldw;hudch hidhcdsij,5,good
2026-03-23 12:04:28,N/A,4,good
2026-04-04 13:08:30,N/A,5,
2026-04-20 12:05:01,N/A,5,good
2026-04-22 14:40:00,N/A,4,
2026-04-22 14:40:04,N/A,4,gg
2026-05-09 00:26:13,N/A,4,good
2026-05-16 15:48:14,N/A,5,good
2026-05-18 12:52:27,N/A,5,good
